0.000000000000e+00, 2.697076845232e-01, 5.091414727133e-68
4.434281360347e+00, 2.896137288454e-01, 4.699669679050e-68
8.114079094570e+00, 3.032882578372e-01, 4.419218097783e-68
1.175548642948e+01, 2.362344550800e-01, 4.089560906598e-68
1.537597120382e+01, 2.428081120522e-01, 3.706927588958e-68
1.897674545665e+01, 2.154986345064e-01, 3.299162898255e-68
2.255567260382e+01, 1.857429553483e-01, 2.893843395125e-68
2.610947028217e+01, 1.579975565792e-01, 2.512544592985e-68
2.963429104534e+01, 1.406887983419e-01, 2.168487606588e-68
3.312590722835e+01, 1.289635926956e-01, 1.866956202447e-68
3.657976958221e+01, 1.232978514524e-01, 1.607855466556e-68
3.999101773335e+01, 1.214932861793e-01, 1.387072254204e-68
4.335446972840e+01, 1.194502910526e-01, 1.199458806526e-68
4.666460172190e+01, 1.206839478025e-01, 1.039359552953e-68
4.991552301567e+01, 1.189807989896e-01, 9.020175774428e-69
5.310094940887e+01, 1.225254464194e-01, 7.833520087182e-69
5.621417698582e+01, 1.218515949333e-01, 6.802327545521e-69
5.924805826637e+01, 1.248120425700e-01, 5.903543816440e-69
6.219498275553e+01, 1.259015917482e-01, 5.118291630715e-69
6.504686421402e+01, 1.257693918862e-01, 4.433359321414e-69
6.779513735000e+01, 1.276860780271e-01, 3.838084616345e-69
7.043076704362e+01, 1.270914924871e-01, 3.322611493785e-69
7.294427359479e+01, 1.267656971791e-01, 2.878382035770e-69
7.532577774824e+01, 1.263149109356e-01, 2.497686515074e-69
7.756506929679e+01, 1.257145258826e-01, 2.173052512275e-69
7.965170277194e+01, 1.243062846972e-01, 1.897571443547e-69
8.157512296864e+01, 1.205407340116e-01, 1.665300532530e-69
8.332482170064e+01, 1.168456027433e-01, 1.470681677392e-69
8.489052517085e+01, 1.136601142277e-01, 1.307104088307e-69
8.626240868506e+01, 1.086837070764e-01, 1.166568175640e-69
8.743133229979e+01, 1.016377945220e-01, 1.042684908553e-69
8.838908775943e+01, 9.376712225514e-02, 9.337125981604e-70
8.912864465294e+01, 8.601475858376e-02, 8.415495979237e-70
8.964438632175e+01, 7.891135745192e-02, 7.689179922914e-70
8.993239449960e+01, 7.319281826834e-02, 7.188641312416e-70
